state,customers,orders,revenue
SP,39156,40501,5067633.16
RJ,11917,12350,1759651.13
MG,11001,11354,1552481.83
RS,5168,5345,728897.47
PR,4769,4923,666063.51
SC,3449,3546,507012.13
BA,3158,3256,493584.14
DF,2019,2080,296498.41
GO,1895,1957,282836.7
ES,1928,1995,268643.45
PE,1551,1593,251889.49
CE,1258,1279,219757.38
PA,922,946,174470.59
MT,856,886,152191.62
MA,700,717,117009.38
MS,681,701,115429.97
PB,504,517,112586.82
PI,464,476,84721.0
RN,464,474,82105.66
AL,387,397,78855.72
SE,329,335,56574.19
TO,267,274,48402.51
RO,231,243,45682.76
AM,140,145,22155.84
AC,76,80,15930.97
AP,66,67,13374.81
RR,40,41,7057.47
